dataset,seed,variant,val_acc,val_macro_f1,best_epoch,early_stop_epoch,model_params,head_params,total_params,protocol,evaluate_test,uses_test_labels_or_metrics,output_dir,checkpoint
Movies,42,f1_owner,0.5764846801757812,0.4832581400040133,127,157,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed42_f1_owner,outputs/ored/f1/checkpoints/movies_seed42_f1_owner.pt
Movies,42,f1_dual_direct,0.5749850273132324,0.5158970738446533,111,141,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed42_f1_dual_direct,outputs/ored/f1/checkpoints/movies_seed42_f1_dual_direct.pt
Movies,42,f1_dual_ocb,0.575584888458252,0.49941890543147816,120,150,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed42_f1_dual_ocb,outputs/ored/f1/checkpoints/movies_seed42_f1_dual_ocb.pt
Movies,43,f1_owner,0.5719856023788452,0.5021912530337825,110,140,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed43_f1_owner,outputs/ored/f1/checkpoints/movies_seed43_f1_owner.pt
Movies,43,f1_dual_direct,0.5704858899116516,0.5041256279321928,134,164,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed43_f1_dual_direct,outputs/ored/f1/checkpoints/movies_seed43_f1_dual_direct.pt
Movies,43,f1_dual_ocb,0.5752849578857422,0.49405350546809085,140,170,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed43_f1_dual_ocb,outputs/ored/f1/checkpoints/movies_seed43_f1_dual_ocb.pt
Movies,44,f1_owner,0.5779843926429749,0.5086601203535143,89,119,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed44_f1_owner,outputs/ored/f1/checkpoints/movies_seed44_f1_owner.pt
Movies,44,f1_dual_direct,0.5797840356826782,0.5181548150885671,99,129,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed44_f1_dual_direct,outputs/ored/f1/checkpoints/movies_seed44_f1_dual_direct.pt
Movies,44,f1_dual_ocb,0.5764846801757812,0.5149874662367402,89,119,1436594,5140,1441734,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/movies_seed44_f1_dual_ocb,outputs/ored/f1/checkpoints/movies_seed44_f1_dual_ocb.pt
Toys,42,f1_owner,0.8035757541656494,0.7778442389987343,81,111,1436594,4626,1441220,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/toys_seed42_f1_owner,outputs/ored/f1/checkpoints/toys_seed42_f1_owner.pt
Toys,42,f1_dual_direct,0.8052669763565063,0.7797189277417808,77,107,1436594,4626,1441220,unified_full_graph_nc_v1,False,False,outputs/ored/f1/formal/toys_seed42_f1_dual_direct,outputs/ored/f1/checkpoints/toys_seed42_f1_dual_direct.pt
