contrast,dataset,seed,left_variant,right_variant,delta_acc_pp,delta_macro_f1_pp
A_dual_direct_minus_owner,Movies,42,f1_dual_direct,f1_owner,-0.1499652862548828,3.263893384064004
A_dual_direct_minus_owner,Movies,43,f1_dual_direct,f1_owner,-0.14997124671936035,0.1934374898410307
A_dual_direct_minus_owner,Movies,44,f1_dual_direct,f1_owner,0.17996430397033691,0.9494694735052822
A_dual_direct_minus_owner,Toys,42,f1_dual_direct,f1_owner,0.16912221908569336,0.18746887430464154
A_dual_direct_minus_owner,Toys,43,f1_dual_direct,f1_owner,0.09663701057434082,0.8967429999888865
A_dual_direct_minus_owner,Toys,44,f1_dual_direct,f1_owner,0.04832148551940918,-0.04901826023973044
A_dual_direct_minus_owner,Grocery,42,f1_dual_direct,f1_owner,0.11712908744812012,-1.3575210963432505
A_dual_direct_minus_owner,Grocery,43,f1_dual_direct,f1_owner,0.23426413536071777,-0.009661185404230554
A_dual_direct_minus_owner,Grocery,44,f1_dual_direct,f1_owner,-0.11712908744812012,1.3484571881925977
B_dual_ocb_minus_direct,Movies,42,f1_dual_ocb,f1_dual_direct,0.059986114501953125,-1.6478168413175176
B_dual_ocb_minus_direct,Movies,43,f1_dual_ocb,f1_dual_direct,0.4799067974090576,-1.0072122464101996
B_dual_ocb_minus_direct,Movies,44,f1_dual_ocb,f1_dual_direct,-0.32993555068969727,-0.3167348851826901
B_dual_ocb_minus_direct,Toys,42,f1_dual_ocb,f1_dual_direct,-0.072479248046875,-0.6988586864607238
B_dual_ocb_minus_direct,Toys,43,f1_dual_ocb,f1_dual_direct,0.0,0.1099863179658156
B_dual_ocb_minus_direct,Toys,44,f1_dual_ocb,f1_dual_direct,-0.09664297103881836,0.3045466641449224
B_dual_ocb_minus_direct,Grocery,42,f1_dual_ocb,f1_dual_direct,0.4099547863006592,2.251686552432286
B_dual_ocb_minus_direct,Grocery,43,f1_dual_ocb,f1_dual_direct,-0.23426413536071777,-1.10994729222611
B_dual_ocb_minus_direct,Grocery,44,f1_dual_ocb,f1_dual_direct,-0.029283761978149414,-0.9512013068230352
C_dual_ocb_minus_owner,Movies,42,f1_dual_ocb,f1_owner,-0.08997917175292969,1.6160765427464863
C_dual_ocb_minus_owner,Movies,43,f1_dual_ocb,f1_owner,0.32993555068969727,-0.8137747565691689
C_dual_ocb_minus_owner,Movies,44,f1_dual_ocb,f1_owner,-0.14997124671936035,0.6327345883225921
C_dual_ocb_minus_owner,Toys,42,f1_dual_ocb,f1_owner,0.09664297103881836,-0.5113898121560823
C_dual_ocb_minus_owner,Toys,43,f1_dual_ocb,f1_owner,0.09663701057434082,1.006729317954702
C_dual_ocb_minus_owner,Toys,44,f1_dual_ocb,f1_owner,-0.04832148551940918,0.25552840390519194
C_dual_ocb_minus_owner,Grocery,42,f1_dual_ocb,f1_owner,0.5270838737487793,0.8941654560890355
C_dual_ocb_minus_owner,Grocery,43,f1_dual_ocb,f1_owner,0.0,-1.1196084776303405
C_dual_ocb_minus_owner,Grocery,44,f1_dual_ocb,f1_owner,-0.14641284942626953,0.3972558813695626
