dataset,seed,variant,val_acc,val_macro_f1,best_epoch,early_stop_epoch,model_params,head_params,total_params,protocol,evaluate_test,output_dir,checkpoint
Movies,42,p0,0.5182963609695435,0.4000115625842959,71,101,1037568,5140,1042708,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed42_p0,outputs/ored/o2/checkpoints/movies_seed42_p0.pt
Movies,42,p0_refine,0.5149970054626465,0.4028240172437714,53,83,1170176,5140,1175316,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed42_p0_refine,outputs/ored/o2/checkpoints/movies_seed42_p0_refine.pt
Movies,42,joint_rd,0.5671865344047546,0.4693851838090496,82,112,1170176,5140,1175316,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed42_joint_rd,outputs/ored/o2/checkpoints/movies_seed42_joint_rd.pt
Movies,42,ownership_rd,0.5704858899116516,0.5067207921307415,118,148,1170176,5140,1175316,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed42_ownership_rd,outputs/ored/o2/checkpoints/movies_seed42_ownership_rd.pt
Movies,43,p0,0.5272945165634155,0.36742946782907826,45,75,1037568,5140,1042708,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed43_p0,outputs/ored/o2/checkpoints/movies_seed43_p0.pt
Movies,43,p0_refine,0.5254948735237122,0.3495551554012328,42,72,1170176,5140,1175316,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed43_p0_refine,outputs/ored/o2/checkpoints/movies_seed43_p0_refine.pt
Movies,43,joint_rd,0.5665866732597351,0.49064146577648576,130,160,1170176,5140,1175316,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed43_joint_rd,outputs/ored/o2/checkpoints/movies_seed43_joint_rd.pt
Movies,43,ownership_rd,0.5704858899116516,0.497039134306534,94,124,1170176,5140,1175316,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed43_ownership_rd,outputs/ored/o2/checkpoints/movies_seed43_ownership_rd.pt
Movies,44,p0,0.5212957262992859,0.38622538795649775,50,80,1037568,5140,1042708,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed44_p0,outputs/ored/o2/checkpoints/movies_seed44_p0.pt
Movies,44,p0_refine,0.5209957957267761,0.41200916695660367,53,83,1170176,5140,1175316,unified_full_graph_nc_v1,False,outputs/ored/o2/formal/movies_seed44_p0_refine,outputs/ored/o2/checkpoints/movies_seed44_p0_refine.pt
