dataset,variant,seeds,mean_val_acc_pct,std_val_acc_pct,mean_val_macro_f1_pct,std_val_macro_f1_pct,model_params,head_params,total_params
Movies,p0,3,52.22955346107483,0.37408923639184255,38.45554727899573,1.335389299435626,1037568,5140,1042708
Movies,p0_refine,3,52.04958915710449,0.43002896476534913,38.81294465338693,2.753269203572165,1170176,5140,1175316
Movies,joint_rd,3,56.83863162994385,0.21350051992276758,48.10197275011851,0.8793782652318172,1170176,5140,1175316
Movies,ownership_rd,3,57.188560565312706,0.19794969850616564,50.200714639625176,0.39566106065893863,1170176,5140,1175316
Toys,p0,3,74.20472105344136,0.16066704047592695,70.75552012454467,0.3775194856984871,1037568,4626,1042194
Toys,p0_refine,3,74.39800302187602,0.2482241673290009,70.7884439705504,0.6042501428241929,1170176,4626,1174802
Toys,joint_rd,3,80.26898503303528,0.1946207816958933,77.18009007029,0.48620664231247673,1170176,4626,1174802
Toys,ownership_rd,3,80.22066354751587,0.04964431777979931,77.5606707970757,0.37380931977970605,1170176,4626,1174802
Grocery,p0,3,78.26256553332011,0.1518438560251483,69.56903217847743,0.2792603121935183,1037568,5140,1042708
Grocery,p0_refine,3,77.41337219874065,0.16274524054285028,67.43943774838728,0.7968884856044862,1170176,5140,1175316
Grocery,joint_rd,3,82.72328178087871,0.0632573968614139,75.09647334733715,1.041479125526889,1170176,5140,1175316
Grocery,ownership_rd,3,82.61590997378032,0.13168165589479286,73.95002370532514,0.8345560252936216,1170176,5140,1175316
