contrast,dataset,seed,left_variant,right_variant,delta_acc_pp,delta_macro_f1_pp
A_refinement_gain,Movies,42,p0_refine,p0,-0.32993555068969727,0.28124546594755495
A_refinement_gain,Movies,43,p0_refine,p0,-0.17996430397033691,-1.7874312427845485
A_refinement_gain,Movies,44,p0_refine,p0,-0.029993057250976562,2.578377900010592
A_refinement_gain,Toys,42,p0_refine,p0,-0.21744370460510254,-0.6467675244979598
A_refinement_gain,Toys,43,p0_refine,p0,0.4590451717376709,0.10844374836432857
A_refinement_gain,Toys,44,p0_refine,p0,0.3382444381713867,0.6370953141508151
A_refinement_gain,Grocery,42,p0_refine,p0,-0.5856513977050781,-1.3940818352346729
A_refinement_gain,Grocery,43,p0_refine,p0,-0.9956061840057373,-2.556848146789603
A_refinement_gain,Grocery,44,p0_refine,p0,-0.9663224220275879,-2.437853308246174
B_joint_graph_gain,Movies,42,joint_rd,p0_refine,5.218952894210815,6.656116656527816
B_joint_graph_gain,Movies,43,joint_rd,p0_refine,4.109179973602295,14.1086310375253
B_joint_graph_gain,Movies,44,joint_rd,p0_refine,5.038994550704956,7.102336596141629
B_joint_graph_gain,Toys,42,joint_rd,p0_refine,5.919301509857178,6.632259280662078
B_joint_graph_gain,Toys,43,joint_rd,p0_refine,5.943465232849121,5.783606882727
B_joint_graph_gain,Toys,44,joint_rd,p0_refine,5.750179290771484,6.759072135829747
B_joint_graph_gain,Grocery,42,joint_rd,p0_refine,5.095171928405762,7.140293181558988
B_joint_graph_gain,Grocery,43,joint_rd,p0_refine,5.329430103302002,6.76796869555708
B_joint_graph_gain,Grocery,44,joint_rd,p0_refine,5.505126714706421,9.062844919733548
C_ownership_graph_gain,Movies,42,ownership_rd,p0_refine,5.548888444900513,10.389677488697007
C_ownership_graph_gain,Movies,43,ownership_rd,p0_refine,4.499101638793945,14.748397890530123
C_ownership_graph_gain,Movies,44,ownership_rd,p0_refine,5.368924140930176,9.025234579487613
C_ownership_graph_gain,Toys,42,ownership_rd,p0_refine,6.088423728942871,7.184479322880111
C_ownership_graph_gain,Toys,43,ownership_rd,p0_refine,5.774343013763428,6.10482706785116
C_ownership_graph_gain,Toys,44,ownership_rd,p0_refine,5.605214834213257,7.027374088844585
C_ownership_graph_gain,Grocery,42,ownership_rd,p0_refine,5.036604404449463,6.563004160578279
C_ownership_graph_gain,Grocery,43,ownership_rd,p0_refine,5.3001463413238525,6.456685052787314
C_ownership_graph_gain,Grocery,44,ownership_rd,p0_refine,5.270862579345703,6.512068657447989
D_ownership_minus_joint,Movies,42,ownership_rd,joint_rd,0.32993555068969727,3.7335608321691915
D_ownership_minus_joint,Movies,43,ownership_rd,joint_rd,0.3899216651916504,0.639766853004825
D_ownership_minus_joint,Movies,44,ownership_rd,joint_rd,0.3299295902252197,1.9228979833459836
D_ownership_minus_joint,Toys,42,ownership_rd,joint_rd,0.16912221908569336,0.5522200422180323
D_ownership_minus_joint,Toys,43,ownership_rd,joint_rd,-0.16912221908569336,0.3212201851241603
D_ownership_minus_joint,Toys,44,ownership_rd,joint_rd,-0.14496445655822754,0.26830195301483784
D_ownership_minus_joint,Grocery,42,ownership_rd,joint_rd,-0.05856752395629883,-0.5772890209807091
D_ownership_minus_joint,Grocery,43,ownership_rd,joint_rd,-0.029283761978149414,-0.3112836427697663
D_ownership_minus_joint,Grocery,44,ownership_rd,joint_rd,-0.23426413536071777,-2.550776262285559
