dataset,seed,variant,val_acc,val_macro_f1,best_epoch,early_stop_epoch,model_params,head_params,total_params,protocol,evaluate_test,uses_test_labels_or_metrics,output_dir,checkpoint
Movies,42,comp_uniform,0.5704858899116516,0.4716815496918626,97,127,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed42_comp_uniform,outputs/ored/o3a/checkpoints/movies_seed42_comp_uniform.pt
Movies,42,comp_shared,0.5629873871803284,0.4961331018221462,85,115,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed42_comp_shared,outputs/ored/o3a/checkpoints/movies_seed42_comp_shared.pt
Movies,42,comp_ownership,0.5659868121147156,0.49148794187911593,108,138,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed42_comp_ownership,outputs/ored/o3a/checkpoints/movies_seed42_comp_ownership.pt
Movies,43,comp_uniform,0.5710858106613159,0.49731497358715443,96,126,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed43_comp_uniform,outputs/ored/o3a/checkpoints/movies_seed43_comp_uniform.pt
Movies,43,comp_shared,0.5707858204841614,0.4837396300741507,88,118,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed43_comp_shared,outputs/ored/o3a/checkpoints/movies_seed43_comp_shared.pt
Movies,43,comp_ownership,0.5704858899116516,0.47812967920257765,117,147,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed43_comp_ownership,outputs/ored/o3a/checkpoints/movies_seed43_comp_ownership.pt
Movies,44,comp_uniform,0.5782843232154846,0.5136296238826232,93,123,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed44_comp_uniform,outputs/ored/o3a/checkpoints/movies_seed44_comp_uniform.pt
Movies,44,comp_shared,0.5743851065635681,0.5129551824477642,90,120,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed44_comp_shared,outputs/ored/o3a/checkpoints/movies_seed44_comp_shared.pt
Movies,44,comp_ownership,0.5764846801757812,0.5113052886521449,103,133,1186817,5140,1191957,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/movies_seed44_comp_ownership,outputs/ored/o3a/checkpoints/movies_seed44_comp_ownership.pt
Toys,42,comp_uniform,0.7985020279884338,0.7648547977790954,55,85,1186817,4626,1191443,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/toys_seed42_comp_uniform,outputs/ored/o3a/checkpoints/toys_seed42_comp_uniform.pt
Toys,42,comp_shared,0.8018845319747925,0.7742955812991213,89,119,1186817,4626,1191443,unified_full_graph_nc_v1,False,False,outputs/ored/o3a/formal/toys_seed42_comp_shared,outputs/ored/o3a/checkpoints/toys_seed42_comp_shared.pt
