contrast,dataset,seed,left_variant,right_variant,delta_acc_pp,delta_macro_f1_pp
A_shared_minus_uniform,Movies,42,comp_shared,comp_uniform,-0.7498502731323242,2.4451552130283605
A_shared_minus_uniform,Movies,43,comp_shared,comp_uniform,-0.0299990177154541,-1.3575343513003713
A_shared_minus_uniform,Movies,44,comp_shared,comp_uniform,-0.3899216651916504,-0.06744414348590633
A_shared_minus_uniform,Toys,42,comp_shared,comp_uniform,0.33825039863586426,0.9440783520025975
A_shared_minus_uniform,Toys,43,comp_shared,comp_uniform,0.02415776252746582,-0.3991311715418999
A_shared_minus_uniform,Toys,44,comp_shared,comp_uniform,0.0,-1.0779757971439596
A_shared_minus_uniform,Grocery,42,comp_shared,comp_uniform,0.3221094608306885,0.6979097575663284
A_shared_minus_uniform,Grocery,43,comp_shared,comp_uniform,-0.20497441291809082,0.7320743079586634
A_shared_minus_uniform,Grocery,44,comp_shared,comp_uniform,-0.11713504791259766,-0.016046535738722945
B_ownership_minus_uniform,Movies,42,comp_ownership,comp_uniform,-0.4499077796936035,1.980639218725333
B_ownership_minus_uniform,Movies,43,comp_ownership,comp_uniform,-0.059992074966430664,-1.9185294384576779
B_ownership_minus_uniform,Movies,44,comp_ownership,comp_uniform,-0.17996430397033691,-0.23243352304783693
B_ownership_minus_uniform,Toys,42,comp_ownership,comp_uniform,0.09664297103881836,1.1361461992877242
B_ownership_minus_uniform,Toys,43,comp_ownership,comp_uniform,-0.21744370460510254,-0.0020183950081409385
B_ownership_minus_uniform,Toys,44,comp_ownership,comp_uniform,0.09664297103881836,0.047302297510143365
B_ownership_minus_uniform,Grocery,42,comp_ownership,comp_uniform,0.11712908744812012,0.14756024651946253
B_ownership_minus_uniform,Grocery,43,comp_ownership,comp_uniform,-0.0878453254699707,0.5803437292190572
B_ownership_minus_uniform,Grocery,44,comp_ownership,comp_uniform,0.1756906509399414,1.2068205652160047
C_ownership_minus_shared,Movies,42,comp_ownership,comp_shared,0.2999424934387207,-0.4645159943030275
C_ownership_minus_shared,Movies,43,comp_ownership,comp_shared,-0.029993057250976562,-0.5609950871573066
C_ownership_minus_shared,Movies,44,comp_ownership,comp_shared,0.20995736122131348,-0.1649893795619306
C_ownership_minus_shared,Toys,42,comp_ownership,comp_shared,-0.2416074275970459,0.1920678472851267
C_ownership_minus_shared,Toys,43,comp_ownership,comp_shared,-0.24160146713256836,0.397112776533759
C_ownership_minus_shared,Toys,44,comp_ownership,comp_shared,0.09664297103881836,1.125278094654103
C_ownership_minus_shared,Grocery,42,comp_ownership,comp_shared,-0.20498037338256836,-0.5503495110468659
C_ownership_minus_shared,Grocery,43,comp_ownership,comp_shared,0.11712908744812012,-0.15173057873960616
C_ownership_minus_shared,Grocery,44,comp_ownership,comp_shared,0.29282569885253906,1.2228671009547276
